x,y,u_x,u_y,eps_xx,eps_yy,gamma_xy,sigma_xx,sigma_yy,sigma_xy
0.010377853382290659,0.05084593682482816,3.680013232568413e-06,-9.411653848042397e-05,0.00035460254611499836,-0.001138019283211629,-0.00471875710274253,-37632001.08351512,-278747835.0516626,-381130381.3753582
0.46633391837035576,0.08568138512562581,0.005760091117230656,-0.041917764049432066,0.008516737310939243,-0.002599591697144188,-0.0032545582175571575,2092665591.8999708,296950905.9788013,-262868163.7257704
0.7507282646223203,0.04118596176754318,-0.0018700252393433591,-0.09614608532018787,-0.0009014317319082085,0.0012141177020745797,-0.0037996211280504066,-107732787.23040023,234009813.64374244,-306892475.72714823
0.2934492050442229,0.09132281168829554,0.0046591611480786095,-0.017815946461779374,0.013620887470280382,-0.0034417287350005446,0.004922983082074284,3433541438.1272726,677272666.5049691,397625556.6290768
0.2083194654840149,0.041674256730288774,-0.0006972258744572728,-0.009220015708057644,-0.002933382703955754,0.0038527057469939507,-0.00719450359488269,-362474606.57860947,733739681.6517276,-581094521.1251403
0.8466921866219013,0.05055166603299741,0.0001219634232247062,-0.11707704188439748,4.5495075538790064e-05,-0.0007432571212829253,0.0003627941938776358,-77187351.03196567,-204601167.44162738,29302607.967039816
0.1338992961917429,0.006369197232790153,-0.002428423282984336,-0.004113717307506269,-0.017324543041650153,0.00418846404270125,0.0023205334584694357,-4390066523.908449,-914888456.4362999,187427702.41483903
0.9033847776811832,0.06468761733092177,0.003291501058454637,-0.1297764855028403,0.00041554343471593425,-0.00045472805816837436,-0.0019954426112365198,62378879.305066824,-78203438.77624457,-161170364.7537189
0.6016835341167351,0.005984705246478733,-0.008372282017436623,-0.06592384960390632,-0.0075042462816242925,0.0019402774044741111,-0.005120732951304774,-1886320628.6863499,-360666802.470454,-413597661.45153946
0.8576074761565364,0.06195195627820651,0.0026487220303909975,-0.11951815300927135,0.0006717548022920142,-0.0006899585501305427,-0.002281635703653695,106308783.22827287,-113660296.77844785,-184285960.67972153
0.6229218326847741,0.0026971494998792424,-0.009168899431041185,-0.07007844475990864,-0.008064747516394688,0.0018368201293148534,-0.0014837630615311403,-2057304263.0061219,-457820258.6991959,-119842401.12366903
0.7493363371526689,0.00478654476622975,-0.009585564744215064,-0.0958936903919209,-0.00565287852608914,0.0012208941395293813,0.001903114194322847,-1450109254.893755,-339730593.5246092,153713069.54146072
0.6596373417407803,0.09662636819659629,0.009319426158218591,-0.07732519072584973,0.006889499108114178,-0.0016579723616376718,-0.0034027354100495955,1746738673.287713,365993282.0201066,-274836321.58092886
0.39243699027118606,0.07497604446243888,0.0035544022145952924,-0.03053915394872698,0.007097021194648223,-0.0029595575746485664,0.0037165634090229605,1647711516.173902,23187253.441343796,300183967.6518545
0.9980726684790533,0.061104804248410936,0.002516026525312933,-0.15125166297602785,0.0003076822750402164,-0.0016765663941667452,-0.0004991373085506401,-116143054.61844835,-436675531.9518806,-40314936.45985939
0.4332173861516111,0.0344717598706154,-0.0023780757834003254,-0.03661812823050147,-0.004059404076028646,0.002760907317439276,0.0008639621526689845,-813067765.7260318,288674843.9880171,69781558.48480259
0.029010174807033644,0.051876105226892365,2.281452640605689e-05,-0.00026636986030330936,0.0007864318832206899,-0.0031812107112711404,0.0029786332491051077,-163097669.18584695,-804024549.8345273,240581916.2738741
